1,Astros,2309,6394,288,920,891,67,10.1%,18.2%,0.274,0.352,0.495,0.355,125
2,Dodgers,2413,6281,279,886,861,57,9.7%,21.6%,0.257,0.338,0.472,0.338,111
3,Yankees,2312,6245,306,943,904,55,9.1%,23.0%,0.267,0.339,0.490,0.346,117
4,Twins,2320,6392,307,939,906,28,8.2%,20.9%,0.270,0.338,0.494,0.347,116
5,Athletics,2363,6269,257,845,800,49,9.2%,21.3%,0.249,0.327,0.448,0.327,107
6,Red Sox,2455,6475,245,901,857,68,9.1%,21.3%,0.269,0.340,0.466,0.338,106
7,Braves,2411,6302,249,855,824,89,9.8%,23.3%,0.258,0.336,0.452,0.332,102
8,Nationals,2327,6267,231,873,824,116,9.3%,20.9%,0.265,0.342,0.454,0.336,103
9,Cubs,2429,6195,256,814,783,45,9.4%,23.6%,0.252,0.331,0.452,0.330,102
10,Brewers,2514,6309,250,769,744,101,10.0%,24.8%,0.246,0.329,0.438,0.324,97
11,Mets,2445,6290,242,791,767,56,8.2%,22.0%,0.257,0.328,0.442,0.325,104
12,Diamondbacks,2418,6315,220,813,778,88,8.6%,21.5%,0.252,0.323,0.434,0.319,94
13,Rays,2459,6285,217,769,730,94,8.6%,23.8%,0.254,0.325,0.431,0.321,102
14,Cardinals,2413,6167,210,764,714,116,9.1%,23.0%,0.245,0.322,0.415,0.314,95
15,Phillies,2431,6261,215,774,742,78,9.0%,23.2%,0.246,0.319,0.427,0.314,91
16,Angels,2425,6251,220,769,734,65,9.4%,20.4%,0.247,0.324,0.422,0.316,99
17,Indians,2321,6124,223,769,731,103,9.2%,21.8%,0.250,0.323,0.432,0.319,94
18,Mariners,2347,6199,239,758,730,115,9.5%,25.5%,0.237,0.316,0.424,0.314,98
19,Padres,2413,6019,219,682,652,70,8.4%,26.3%,0.238,0.308,0.410,0.305,88
20,Blue Jays,2354,6091,247,726,697,51,8.4%,24.9%,0.236,0.305,0.428,0.310,92
21,Reds,2462,6100,227,701,679,80,8.1%,23.5%,0.244,0.315,0.422,0.312,87
22,White Sox,2311,6042,182,708,676,63,6.3%,25.6%,0.261,0.314,0.414,0.309,93
23,Pirates,2441,6228,163,758,722,64,6.8%,19.5%,0.265,0.321,0.420,0.313,92
24,Rockies,2452,6288,224,835,803,71,7.8%,23.9%,0.265,0.326,0.456,0.328,86
25,Giants,2493,6170,167,678,655,47,7.7%,23.3%,0.239,0.302,0.392,0.295,83
26,Royals,2269,6080,162,691,655,117,7.5%,23.1%,0.247,0.309,0.401,0.302,84
27,Rangers,2273,6204,223,810,765,131,8.6%,25.4%,0.248,0.319,0.431,0.317,88
28,Orioles,2386,6189,213,729,698,84,7.5%,23.2%,0.246,0.310,0.415,0.308,88
29,Marlins,2402,6045,146,615,593,55,6.5%,24.3%,0.241,0.298,0.375,0.288,79
30,Tigers,2316,6039,149,582,556,57,6.5%,26.4%,0.240,0.294,0.388,0.290,77
